input,Task Priority,Task Complexity,Required Skills,Deadline,NTS_skills,importance
"Refactor an existing codebase built with FastAPI to optimize performance and scalability.
Work will include integrating with Cloud Computing and updating deployment using Business Intelligence.
Coordinate with stakeholders in the GraphQL department. Deadline: HR.",high,6,"FastAPI, Cloud Computing, Business Intelligence, GraphQL",11/23/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 1, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 1}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using UI/UX Design and Performance Optimization to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Django and SQL teams. Target completion date: marketing.",medium,6,"UI/UX Design, Performance Optimization, Django, SQL",11/18/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Machine Learning to optimize performance and scalability.
Work will include integrating with Excel and updating deployment using Django.
Coordinate with stakeholders in the Agile department. Deadline: legal.",low,4,"Machine Learning, Excel, Django, Agile",11/14/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 1, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using Cloud Computing and CI/CD to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Agile and SEO teams to finalize metrics.
The project is due by marketing.",medium,7,"Cloud Computing, CI/CD, Agile, SEO",11/26/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 1, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Power BI to optimize performance and scalability.
Work will include integrating with Project Management and updating deployment using Django.
Coordinate with stakeholders in the Communication department. Deadline: HR.",low,9,"Power BI, Project Management, Django, Communication",11/13/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 1, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with SEO to optimize performance and scalability.
Work will include integrating with Business Intelligence and updating deployment using CI/CD.
Coordinate with stakeholders in the SQL department. Deadline: HR.",low,9,"SEO, Business Intelligence, CI/CD, SQL",11/27/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Big Data, integrated with DevOps for authentication and Django for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Leadership team. Final submission expected by BI.",low,4,"Big Data, DevOps, Django, Leadership",12/15/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 2, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 2, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Build an internal web app using AWS, integrated with Leadership for authentication and Business Intelligence for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Django team. Final submission expected by product.",medium,9,"AWS, Leadership, Business Intelligence, Django",11/16/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 5, ""collaboration"": 1, ""reasoning"": 2, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 3}"
"Develop a marketing analytics solution with Performance Optimization and Cloud Computing, integrating campaign data from Git.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Security team regularly. Complete this by BI.",medium,5,"Performance Optimization, Cloud Computing, Git, Security",12/1/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 1, ""planning"": 3, ""collaboration"": 2, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with NLP and Project Management, integrating campaign data from Python.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Cloud Computing team regularly. Complete this by legal.",low,9,"NLP, Project Management, Python, Cloud Computing",11/17/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using CSS and Power BI to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Git and CRM teams to finalize metrics.
The project is due by BI.",medium,3,"CSS, Power BI, Git, CRM",11/30/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 2, ""planning"": 4, ""collaboration"": 1, ""reasoning"": 1, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}"
"Develop a marketing analytics solution with TypeScript and FastAPI, integrating campaign data from Scrum.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Debugging team regularly. Complete this by HR.",medium,8,"TypeScript, FastAPI, Scrum, Debugging",11/24/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with HTML to optimize performance and scalability.
Work will include integrating with UI/UX Design and updating deployment using Leadership.
Coordinate with stakeholders in the Business Intelligence department. Deadline: engineering.",medium,3,"HTML, UI/UX Design, Leadership, Business Intelligence",11/19/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using HTML and Azure to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Flask and Django teams to finalize metrics.
The project is due by HR.",low,8,"HTML, Azure, Flask, Django",11/17/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 2, ""communication"": 2, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 3}"
"Develop a marketing analytics solution with Problem Solving and Big Data, integrating campaign data from Debugging.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Scrum team regularly. Complete this by engineering.",low,7,"Problem Solving, Big Data, Debugging, Scrum",11/21/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 2, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 2, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 1, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Scrum and Docker to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Marketing and CI/CD teams to finalize metrics.
The project is due by sales.",high,7,"Scrum, Docker, Marketing, CI/CD",11/13/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Business Intelligence to optimize performance and scalability.
Work will include integrating with Figma and updating deployment using Django.
Coordinate with stakeholders in the GraphQL department. Deadline: sales.",low,4,"Business Intelligence, Figma, Django, GraphQL",11/24/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 4, ""planning"": 1, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 1, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with Excel and GraphQL, integrating campaign data from Python.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the NumPy team regularly. Complete this by product.",low,9,"Excel, GraphQL, Python, NumPy",11/20/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Scrum and AWS to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the React and Git teams. Target completion date: product.",medium,3,"Scrum, AWS, React, Git",11/21/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Build an internal web app using NumPy, integrated with HTML for authentication and NLP for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the ETL team. Final submission expected by engineering.",high,5,"NumPy, HTML, NLP, ETL",11/27/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Docker to optimize performance and scalability.
Work will include integrating with Excel and updating deployment using Cloud Computing.
Coordinate with stakeholders in the Flask department. Deadline: sales.",medium,3,"Docker, Excel, Cloud Computing, Flask",11/26/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Machine Learning and Data Analysis to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the SEO and React teams. Target completion date: design.",medium,5,"Machine Learning, Data Analysis, SEO, React",12/2/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using React and Flask to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Big Data and AWS teams to finalize metrics.
The project is due by engineering.",medium,3,"React, Flask, Big Data, AWS",12/1/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 1}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with REST APIs to optimize performance and scalability.
Work will include integrating with Git and updating deployment using TypeScript.
Coordinate with stakeholders in the Project Management department. Deadline: sales.",medium,4,"REST APIs, Git, TypeScript, Project Management",11/14/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with UI/UX Design to optimize performance and scalability.
Work will include integrating with GraphQL and updating deployment using NumPy.
Coordinate with stakeholders in the React department. Deadline: sales.",high,6,"UI/UX Design, GraphQL, NumPy, React",11/22/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 5, ""stakeholder_mgmt"": 1}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Problem Solving and NLP to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Scrum and Python teams to finalize metrics.
The project is due by engineering.",high,4,"Problem Solving, NLP, Scrum, Python",12/1/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 2, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using CRM and Business Intelligence to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the ETL and Big Data teams to finalize metrics.
The project is due by legal.",medium,5,"CRM, Business Intelligence, ETL, Big Data",11/22/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Django to optimize performance and scalability.
Work will include integrating with GraphQL and updating deployment using Machine Learning.
Coordinate with stakeholders in the Azure department. Deadline: product.",high,7,"Django, GraphQL, Machine Learning, Azure",11/24/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with Git and NumPy, integrating campaign data from Problem Solving.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Scrum team regularly. Complete this by design.",high,4,"Git, NumPy, Problem Solving, Scrum",11/27/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using REST APIs and Figma to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the SQL and Django teams. Target completion date: engineering.",high,6,"REST APIs, Figma, SQL, Django",11/18/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 3, ""collaboration"": 2, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Project Management and Performance Optimization to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Data Analysis and CI/CD teams to finalize metrics.
The project is due by sales.",high,4,"Project Management, Performance Optimization, Data Analysis, CI/CD",11/14/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Big Data and TypeScript to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Security and Business Intelligence teams. Target completion date: marketing.",high,3,"Big Data, TypeScript, Security, Business Intelligence",12/1/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 2, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Design and deploy a machine learning model using NumPy and Big Data to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Leadership and CI/CD teams. Target completion date: BI.",high,6,"NumPy, Big Data, Leadership, CI/CD",11/24/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 1, ""ownership"": 2, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}"
"Build an internal web app using DevOps, integrated with Collaboration for authentication and REST APIs for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Machine Learning team. Final submission expected by legal.",medium,4,"DevOps, Collaboration, REST APIs, Machine Learning",11/30/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Marketing and Agile to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the DevOps and CRM teams. Target completion date: product.",medium,4,"Marketing, Agile, DevOps, CRM",12/12/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 1, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with CRM and Debugging, integrating campaign data from Azure.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Power BI team regularly. Complete this by sales.",medium,9,"CRM, Debugging, Azure, Power BI",11/14/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Develop a marketing analytics solution with JavaScript and Flask, integrating campaign data from AWS.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the PyTorch team regularly. Complete this by sales.",medium,5,"JavaScript, Flask, AWS, PyTorch",11/23/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 1, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with CRM to optimize performance and scalability.
Work will include integrating with TypeScript and updating deployment using Machine Learning.
Coordinate with stakeholders in the Leadership department. Deadline: product.",low,5,"CRM, TypeScript, Machine Learning, Leadership",12/7/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 2, ""communication"": 2, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with Flask and Kubernetes, integrating campaign data from Node.js.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the TypeScript team regularly. Complete this by legal.",medium,4,"Flask, Kubernetes, Node.js, TypeScript",12/11/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 1, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Pandas, integrated with Communication for authentication and Debugging for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Business Intelligence team. Final submission expected by marketing.",high,3,"Pandas, Communication, Debugging, Business Intelligence",12/3/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 2, ""risk_awareness"": 1, ""ownership"": 4, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Problem Solving and Communication to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the FastAPI and CRM teams. Target completion date: BI.",medium,5,"Problem Solving, Communication, FastAPI, CRM",11/25/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 2, ""planning"": 3, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 3, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 2}"
"Develop an interactive dashboard using JavaScript and TypeScript to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the GraphQL and SEO teams to finalize metrics.
The project is due by sales.",medium,4,"JavaScript, TypeScript, GraphQL, SEO",11/29/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with Big Data and PyTorch, integrating campaign data from JIRA.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the NLP team regularly. Complete this by sales.",high,9,"Big Data, PyTorch, JIRA, NLP",11/21/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
